Position, TimeStamp, PropId, EOSUsername, UPXCost
90270152,2021-09-18T12:54:32.000,81333278573795,dgphd44vjwf3,10.00 UPX
90270192,2021-09-18T12:54:40.000,81333278573795,dgphd44vjwf3,10.00 UPX
90270227,2021-09-18T12:54:54.500,81333278573795,dgphd44vjwf3,10.00 UPX
90270266,2021-09-18T12:55:06.000,81333278573795,dgphd44vjwf3,10.00 UPX
90281343,2021-09-18T13:31:11.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90281433,2021-09-18T13:31:28.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90281458,2021-09-18T13:31:35.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90281477,2021-09-18T13:31:42.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90281525,2021-09-18T13:31:48.500,82107328554437,vjcnzwd2u35m,20.00 UPX
90281553,2021-09-18T13:31:55.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90281588,2021-09-18T13:32:01.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90282714,2021-09-18T13:36:03.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90282761,2021-09-18T13:36:12.500,82107328554437,vjcnzwd2u35m,20.00 UPX
90282814,2021-09-18T13:36:24.000,82107328554437,vjcnzwd2u35m,20.00 UPX
90282844,2021-09-18T13:36:32.500,82107328554437,vjcnzwd2u35m,20.00 UPX
90300639,2021-09-18T14:32:24.000,82107328554437,lyoxao4eq3e1,20.00 UPX
90301477,2021-09-18T14:34:38.000,79566619660565,wo1ohfq5wxhs,20.00 UPX
90301560,2021-09-18T14:35:06.000,79566619660565,wo1ohfq5wxhs,20.00 UPX
90301591,2021-09-18T14:35:12.000,79566619660565,wo1ohfq5wxhs,20.00 UPX
90305500,2021-09-18T14:47:47.000,78897980593015,wwfrv3scoyt4,10.00 UPX
90305569,2021-09-18T14:48:00.000,78897980593015,wwfrv3scoyt4,10.00 UPX
90305616,2021-09-18T14:48:07.500,78897980593015,wwfrv3scoyt4,10.00 UPX
90313401,2021-09-18T15:09:12.000,79520616529774,hllonjgu1zyv,20.00 UPX
90315917,2021-09-18T15:16:32.000,81333278573795,pcksgmf3ynd1,10.00 UPX
90316002,2021-09-18T15:16:49.500,81333278573795,pcksgmf3ynd1,10.00 UPX
90318149,2021-09-18T15:23:26.000,81333278573795,pcksgmf3ynd1,10.00 UPX
90318678,2021-09-18T15:25:26.000,81333278573795,pcksgmf3ynd1,10.00 UPX
90318741,2021-09-18T15:25:41.000,81333278573795,pcksgmf3ynd1,10.00 UPX
90318821,2021-09-18T15:26:00.500,81333278573795,pcksgmf3ynd1,10.00 UPX
90318850,2021-09-18T15:26:09.000,81333278573795,pcksgmf3ynd1,10.00 UPX
